#DB,#Model,#Mment,#Shots,#Temp,#Deviation
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),4,100.0,0.0026422731835773
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),5,100.0,0.0021699098512528
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),6,100.0,0.0012185133992623
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),7,100.0,0.0032086991640045
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),8,100.0,0.0034230583977363
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),9,100.0,0.0035074880865051
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),10,100.0,0.003235668073992
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),11,200.0,0.0040921951887651
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),12,200.0,0.001070326293124
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),13,200.0,0.0007474760032308
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),14,200.0,0.0014919330882076
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),15,200.0,0.0008241137338349
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),16,200.0,0.0011338517159138
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),17,200.0,0.0003384669401268
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),18,200.0,0.0002103371825304
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),19,200.0,0.0001240252071645
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),20,200.0,0.0006152251216987
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),21,21.0,0.004505482309193
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),22,21.0,0.0044073643083999
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),23,21.0,0.0062418852943011
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),24,21.0,0.0051729642885867
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),25,21.0,0.0052196584225376
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),26,22.0,0.0054014891419909
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),27,22.0,0.0042176476108954
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),28,22.0,0.0054473668338745
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),29,22.0,0.004616760436416
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),30,22.0,0.0052519672570794
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),31,25.0,0.0047697789086285
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),32,25.0,0.0050842788809009
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),33,25.0,0.0062333291960086
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),34,25.0,0.0055753778074272
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),35,25.0,0.0051048782043185
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),36,25.0,0.0056766972297053
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),37,25.0,0.0067614859623383
test_8mm_CEA.db,standard,Pyro-sq_21608 (D),38,25.0,0.005395566861525
